CTUID,DGUID,CTNAME,LANDAREA,PRUID,Shape_Length,Shape_Area,CTNAME_1,Total___Population_aged_15_year,Median_amount____,Average_amount____,Population__2021,Total_private_dwellings__2021,Land_area_in_square_kilometres_,Population_density_per_square_k,ObjectID,Median_Income,Pop_density_sqkm,Population,Total_Private_Dwellings,Average_Income
8250077.19,2021S05078250077.19,0077.19,12.977000000000000,48,16171.022225525275644,12984650.133532403036952,0077.19,3805,40000,47760,4718.000000000000000,1787.000000000000000,12.980000000000000,363.600000000000023,268,40000,364,4718,1787,47760
8250077.2,2021S05078250077.20,0077.20,1.911000000000000,48,6239.597502941514904,1910651.891672922531143,0077.20,3965,41600,51300,5162.000000000000000,1725.000000000000000,1.910000000000000,2701.199999999999818,269,41600,2701,5162,1725,51300
8250077.21,2021S05078250077.21,0077.21,2.860900000000000,48,9635.528082711078241,2914046.810686049517244,0077.21,4325,36800,45480,5435.000000000000000,2238.000000000000000,2.890000000000000,1899.799999999999955,270,36800,1900,5435,2238,45480
8250077.22,2021S05078250077.22,0077.22,1.802200000000000,48,5762.579017477914022,1806436.981033323099837,0077.22,4045,39600,54350,5019.000000000000000,1685.000000000000000,1.800000000000000,2784.900000000000091,271,39600,2785,5019,1685,54350
8250002.14,2021S05078250002.14,0002.14,2.123900000000000,48,7051.930552182505380,2256037.660533314105123,0002.14,3930,48000,59850,4786.000000000000000,2003.000000000000000,2.120000000000000,2253.400000000000091,47,48000,2253,4786,2003,59850
8250002.15,2021S05078250002.15,0002.15,3.126100000000000,48,9568.129683873152317,3620953.196861882694066,0002.15,3415,42800,52750,4274.000000000000000,1532.000000000000000,3.130000000000000,1367.200000000000045,48,42800,1367,4274,1532,52750
8250050.07,2021S05078250050.07,0050.07,2.701500000000000,48,7870.637776721560840,2844181.844419465400279,0050.07,2600,36000,44040,3105.000000000000000,1665.000000000000000,2.700000000000000,1149.400000000000091,180,36000,1149,3105,1665,44040
8250050.1,2021S05078250050.10,0050.10,2.444300000000000,48,6351.139019100080077,2443778.437457389663905,0050.10,5655,50800,70200,8059.000000000000000,2851.000000000000000,2.440000000000000,3297.099999999999909,181,50800,3297,8059,2851,70200
8250077.23,2021S05078250077.23,0077.23,2.415100000000000,48,8648.776721401956820,2414608.269446964375675,0077.23,4270,42000,49800,5668.000000000000000,1975.000000000000000,2.420000000000000,2346.900000000000091,272,42000,2347,5668,1975,49800
8250077.24,2021S05078250077.24,0077.24,1.382500000000000,48,6949.771772548632725,1382204.652400131803006,0077.24,3615,38000,48360,4528.000000000000000,1543.000000000000000,1.380000000000000,3275.199999999999818,273,38000,3275,4528,1543,48360
8250003,2021S05078250003.00,0003.00,10.042999999999999,48,19252.705042694778967,10192159.551653882488608,0003.00,2735,44000,56400,3296.000000000000000,1441.000000000000000,10.039999999999999,328.199999999999989,69,44000,328,3296,1441,56400
8250004,2021S05078250004.00,0004.00,1.994200000000000,48,5672.702472066041992,2001301.025283491238952,0004.00,2540,47200,75500,3088.000000000000000,1297.000000000000000,1.990000000000000,1548.500000000000000,70,47200,1548,3088,1297,75500
8250005,2021S05078250005.00,0005.00,1.789500000000000,48,5553.971369800033244,1794292.007936839247122,0005.00,1685,39600,46600,2104.000000000000000,931.000000000000000,1.790000000000000,1175.700000000000045,71,39600,1176,2104,931,46600
8250006,2021S05078250006.00,0006.00,2.220600000000000,48,6069.912830796944945,2220136.340705704409629,0006.00,4890,36400,41600,6092.000000000000000,2665.000000000000000,2.220000000000000,2743.400000000000091,72,36400,2743,6092,2665,41600
8250008,2021S05078250008.00,0008.00,1.211400000000000,48,4797.292443998914678,1211169.077473127515987,0008.00,2285,45200,56700,2849.000000000000000,1180.000000000000000,1.210000000000000,2351.800000000000182,79,45200,2352,2849,1180,56700
8250009,2021S05078250009.00,0009.00,0.9755,48,4571.273711167934380,975349.426019008271396,0009.00,2075,37600,41880,2502.000000000000000,1273.000000000000000,0.98,2564.800000000000182,80,37600,2565,2502,1273,41880
8250010,2021S05078250010.00,0010.00,1.885700000000000,48,5595.182152991260409,1885285.629215313121676,0010.00,5990,34400,40840,7208.000000000000000,4090.000000000000000,1.890000000000000,3822.500000000000000,81,34400,3822,7208,4090,40840
8250011,2021S05078250011.00,0011.00,1.344100000000000,48,5093.335803410957851,1343789.441636060364544,0011.00,2630,42000,50200,3182.000000000000000,1395.000000000000000,1.340000000000000,2367.400000000000091,82,42000,2367,3182,1395,50200
8250012,2021S05078250012.00,0012.00,2.156500000000000,48,6244.552073878809097,2156112.794270228128880,0012.00,3185,38000,44080,3909.000000000000000,1799.000000000000000,2.160000000000000,1812.700000000000045,83,38000,1813,3909,1799,44080
8250013,2021S05078250013.00,0013.00,1.328800000000000,48,4815.146364207143961,1328538.525790580548346,0013.00,3820,34400,40360,4700.000000000000000,2410.000000000000000,1.330000000000000,3537.000000000000000,84,34400,3537,4700,2410,40360
8250014,2021S05078250014.00,0014.00,3.738200000000000,48,10338.159404885094773,3737462.682054092176259,0014.00,3665,49200,121400,5008.000000000000000,2011.000000000000000,3.740000000000000,1339.700000000000045,85,49200,1340,5008,2011,121400
8250015,2021S05078250015.00,0015.00,4.039900000000000,48,13314.401591224006552,4097321.541094266809523,0015.00,2710,48000,77500,3541.000000000000000,1388.000000000000000,4.040000000000000,876.500000000000000,86,48000,876,3541,1388,77500
8250016,2021S05078250016.00,0016.00,1.639900000000000,48,5927.491794495012073,1639618.241939231520519,0016.00,3560,45600,62600,4544.000000000000000,2000.000000000000000,1.640000000000000,2770.900000000000091,87,45600,2771,4544,2000,62600
8250019,2021S05078250019.00,0019.00,1.537900000000000,48,5537.307583123486438,1537597.676586261251941,0019.00,4000,39600,50560,5052.000000000000000,2263.000000000000000,1.540000000000000,3285.000000000000000,95,39600,3285,5052,2263,50560
8250020,2021S05078250020.00,0020.00,1.233400000000000,48,4730.404562066760263,1233162.410267017548904,0020.00,4175,45200,59500,5160.000000000000000,2541.000000000000000,1.230000000000000,4183.600000000000364,96,45200,4184,5160,2541,59500
8250023,2021S05078250023.00,0023.00,1.880000000000000,48,7986.932047352604968,1925010.579897897085175,0023.00,3735,67500,107600,5243.000000000000000,1997.000000000000000,1.880000000000000,2788.800000000000182,101,67500,2789,5243,1997,107600
8250024,2021S05078250024.00,0024.00,1.503800000000000,48,7199.487284806144999,1503453.796461580554023,0024.00,5975,50400,69600,7127.000000000000000,4030.000000000000000,1.500000000000000,4739.300000000000182,102,50400,4739,7127,4030,69600
8250025,2021S05078250025.00,0025.00,1.333200000000000,48,4616.435111370930827,1332906.447558281943202,0025.00,4495,45600,64400,5355.000000000000000,2966.000000000000000,1.330000000000000,4016.699999999999818,103,45600,4017,5355,2966,64400
8250026,2021S05078250026.00,0026.00,0.3976,48,2700.446431549175941,397507.874146135407500,0026.00,2960,36400,46240,3396.000000000000000,2328.000000000000000,0.4,8541.200000000000728,104,36400,8541,3396,2328,46240
8250028,2021S05078250028.00,0028.00,1.917800000000000,48,8737.637337670939814,2034112.432656900025904,0028.00,3135,68000,150000,4039.000000000000000,1596.000000000000000,1.920000000000000,2106.099999999999909,108,68000,2106,4039,1596,150000
8250029,2021S05078250029.00,0029.00,2.678400000000000,48,8593.952152651714641,2677881.429948266595602,0029.00,5880,40800,77200,7156.000000000000000,3607.000000000000000,2.680000000000000,2671.699999999999818,109,40800,2672,7156,3607,77200
8250030,2021S05078250030.00,0030.00,5.346600000000000,48,16236.085463736393649,5402398.708186993375421,0030.00,4000,41200,65200,4869.000000000000000,2835.000000000000000,5.350000000000000,910.700000000000045,110,41200,911,4869,2835,65200
8250032,2021S05078250032.00,0032.00,7.095600000000000,48,14274.845539005616956,7174686.053163135424256,0032.00,1820,42400,57500,2218.000000000000000,1140.000000000000000,7.100000000000000,312.600000000000023,113,42400,313,2218,1140,57500
8250034,2021S05078250034.00,0034.00,5.343800000000000,48,13032.993673330111051,6290647.750962140969932,0034.00,3630,49200,60250,4380.000000000000000,2491.000000000000000,5.340000000000000,819.600000000000023,116,49200,820,4380,2491,60250
8250037,2021S05078250037.00,0037.00,1.336600000000000,48,4914.074234852548216,1336293.768286673817784,0037.00,3035,29600,33120,4149.000000000000000,1914.000000000000000,1.320000000000000,3104.099999999999909,121,29600,3104,4149,1914,33120
8250039,2021S05078250039.00,0039.00,4.702000000000000,48,9543.583950311507579,4706927.415715391747653,0039.00,5280,31800,35560,6753.000000000000000,3026.000000000000000,4.700000000000000,1436.200000000000045,161,31800,1436,6753,3026,35560
8250040,2021S05078250040.00,0040.00,3.933000000000000,48,9053.998794788869418,3974032.959860034752637,0040.00,4725,37200,42680,5937.000000000000000,2789.000000000000000,3.930000000000000,1509.500000000000000,162,37200,1510,5937,2789,42680
8250041,2021S05078250041.00,0041.00,2.120100000000000,48,6959.055607412493373,2140369.424059738870710,0041.00,5350,44400,58650,6860.000000000000000,3873.000000000000000,2.120000000000000,3235.699999999999818,163,44400,3236,6860,3873,58650
8250043,2021S05078250043.00,0043.00,1.625600000000000,48,5615.442618731400216,1675658.610832317965105,0043.00,6395,38400,64300,7563.000000000000000,5513.000000000000000,1.630000000000000,4652.399999999999636,166,38400,4652,7563,5513,64300
8250044,2021S05078250044.00,0044.00,0.8042,48,4706.620564846803973,804051.077699182205833,0044.00,8600,42000,53600,9322.000000000000000,7469.000000000000000,0.8,11591.600000000000364,167,42000,11592,9322,7469,53600
8250047,2021S05078250047.00,0047.00,1.588800000000000,48,6856.117150272709296,1588443.850510952994227,0047.00,4240,36000,49040,5298.000000000000000,2641.000000000000000,1.590000000000000,3334.599999999999909,172,36000,3335,5298,2641,49040
8250048,2021S05078250048.00,0048.00,2.977700000000000,48,8536.126361832442853,3276667.980434143915772,0048.00,4825,40400,57850,6323.000000000000000,3113.000000000000000,2.980000000000000,2123.500000000000000,173,40400,2124,6323,3113,57850
8250051,2021S05078250051.00,0051.00,2.237300000000000,48,9426.510973110629493,2562789.661022389773279,0051.00,4110,36400,45480,5022.000000000000000,2559.000000000000000,2.240000000000000,2244.699999999999818,193,36400,2245,5022,2559,45480
8250053,2021S05078250053.00,0053.00,3.142400000000000,48,9332.430580068812560,3141798.567362186033279,0053.00,4555,44000,55450,6081.000000000000000,2811.000000000000000,3.140000000000000,1935.099999999999909,204,44000,1935,6081,2811,55450
8250054,2021S05078250054.00,0054.00,1.261800000000000,48,6583.068261326284301,1261597.121685124700889,0054.00,3095,50400,76600,3868.000000000000000,1901.000000000000000,1.260000000000000,3065.500000000000000,205,50400,3066,3868,1901,76600
8250055,2021S05078250055.00,0055.00,1.880700000000000,48,6341.850262804763588,1880297.226605533622205,0055.00,2230,47600,98300,3130.000000000000000,1210.000000000000000,1.880000000000000,1664.299999999999955,206,47600,1664,3130,1210,98300
8250056,2021S05078250056.00,0056.00,1.594400000000000,48,7092.025689580570543,1834343.662615125766024,0056.00,4660,52400,74700,5738.000000000000000,2879.000000000000000,1.590000000000000,3598.800000000000182,207,52400,3599,5738,2879,74700
8250057,2021S05078250057.00,0057.00,2.305000000000000,48,6134.864543648317522,2304499.301217219326645,0057.00,4555,48400,67500,6018.000000000000000,3022.000000000000000,2.310000000000000,2610.800000000000182,208,48400,2611,6018,3022,67500
8250058,2021S05078250058.00,0058.00,1.959900000000000,48,7191.254329770652475,2105834.929996461141855,0058.00,5605,44800,70900,6615.000000000000000,3817.000000000000000,1.960000000000000,3375.199999999999818,209,44800,3375,6615,3817,70900
8250059,2021S05078250059.00,0059.00,1.541600000000000,48,6498.591115075576454,1615650.002692518057302,0059.00,5855,42400,54000,6876.000000000000000,4115.000000000000000,1.540000000000000,4460.300000000000182,210,42400,4460,6876,4115,54000
8250060,2021S05078250060.00,0060.00,2.031200000000000,48,7453.901150883216360,2042640.852127492427826,0060.00,4175,47600,60250,5088.000000000000000,2776.000000000000000,2.030000000000000,2504.900000000000091,211,47600,2505,5088,2776,60250
8250061,2021S05078250061.00,0061.00,38.127000000000002,48,36225.890024897795229,38436164.546531662344933,0061.00,2210,34400,41720,3267.000000000000000,1235.000000000000000,38.130000000000003,85.700000000000003,212,34400,86,3267,1235,41720
8250062,2021S05078250062.00,0062.00,1.479000000000000,48,4887.088284766819925,1478659.128661712398753,0062.00,4480,42800,57850,5452.000000000000000,2784.000000000000000,1.480000000000000,3686.300000000000182,213,42800,3686,5452,2784,57850
8250063,2021S05078250063.00,0063.00,1.341900000000000,48,4634.713545104719742,1341626.044645888730884,0063.00,3795,46400,59650,4799.000000000000000,2219.000000000000000,1.340000000000000,3576.300000000000182,214,46400,3576,4799,2219,59650
8250064,2021S05078250064.00,0064.00,1.970400000000000,48,7246.267720328171890,1969968.617681815987453,0064.00,4820,39200,55750,6135.000000000000000,2985.000000000000000,1.970000000000000,3113.599999999999909,215,39200,3114,6135,2985,55750
8250065,2021S05078250065.00,0065.00,1.432200000000000,48,5904.457541934563778,1431909.259426857810467,0065.00,3180,34800,49120,3832.000000000000000,1848.000000000000000,1.430000000000000,2675.599999999999909,216,34800,2676,3832,1848,49120
8250067,2021S05078250067.00,0067.00,0.8875,48,4100.088640950773879,887281.851229826454073,0067.00,2730,33200,41760,3292.000000000000000,1803.000000000000000,0.89,3709.300000000000182,220,33200,3709,3292,1803,41760
8250068,2021S05078250068.00,0068.00,1.068900000000000,48,4485.906823154191443,1068675.771031822543591,0068.00,2155,44400,64200,2746.000000000000000,1101.000000000000000,1.070000000000000,2569.000000000000000,221,44400,2569,2746,1101,64200
8250069,2021S05078250069.00,0069.00,1.087000000000000,48,5263.526991436081516,1086751.591467797057703,0069.00,1745,44000,63500,2210.000000000000000,946.000000000000000,1.090000000000000,2033.099999999999909,222,44000,2033,2210,946,63500
8250070,2021S05078250070.00,0070.00,1.641500000000000,48,6558.125391403465073,1641147.561650998890400,0070.00,1890,40000,54800,2335.000000000000000,1053.000000000000000,1.640000000000000,1422.500000000000000,223,40000,1422,2335,1053,54800
8250071,2021S05078250071.00,0071.00,1.866200000000000,48,5638.005754821077971,1865838.771543309092522,0071.00,2490,43600,54500,3144.000000000000000,1441.000000000000000,1.870000000000000,1684.700000000000045,224,43600,1685,3144,1441,54500
8250072,2021S05078250072.00,0072.00,2.384100000000000,48,6933.200699061649175,2383644.616101096384227,0072.00,4975,41200,50760,6357.000000000000000,3180.000000000000000,2.380000000000000,2666.400000000000091,225,41200,2666,6357,3180,50760
8250073,2021S05078250073.00,0073.00,1.161700000000000,48,4743.069039779782543,1161481.266223938437179,0073.00,2060,33600,41680,2433.000000000000000,1359.000000000000000,1.160000000000000,2094.300000000000182,226,33600,2094,2433,1359,41680
8250074,2021S05078250074.00,0074.00,1.616700000000000,48,5748.150255829346861,1616364.139825524529442,0074.00,2715,40800,48000,3468.000000000000000,1510.000000000000000,1.620000000000000,2145.099999999999909,227,40800,2145,3468,1510,48000
8250001.3,2021S05078250001.30,0001.30,1.860000000000000,48,5979.109183640558513,1924329.529631643090397,0001.30,4850,39200,46680,6247.000000000000000,2046.000000000000000,1.860000000000000,3358.599999999999909,20,39200,3359,6247,2046,46680
8250001.01,2021S05078250001.01,0001.01,1.703200000000000,48,5482.197003690101155,1702822.200140000088140,0001.01,4085,39600,46680,5001.000000000000000,2159.000000000000000,1.700000000000000,2936.199999999999818,1,39600,2936,5001,2159,46680
8250001.02,2021S05078250001.02,0001.02,3.662500000000000,48,9629.270032857339174,3976850.836668560281396,0001.02,4940,49600,87300,6257.000000000000000,2635.000000000000000,3.660000000000000,1708.400000000000091,2,49600,1708,6257,2635,87300
8250001.03,2021S05078250001.03,0001.03,1.048800000000000,48,4384.171152682170941,1048567.389253132510930,0001.03,1640,47200,52800,2043.000000000000000,822.000000000000000,1.050000000000000,1947.900000000000091,3,47200,1948,2043,822,52800
8250038.02,2021S05078250038.02,0038.02,1.110200000000000,48,4563.964479352940543,1109953.129606946138665,0038.02,2970,33200,37360,3818.000000000000000,1415.000000000000000,1.110000000000000,3439.000000000000000,122,33200,3439,3818,1415,37360
8250038.03,2021S05078250038.03,0038.03,1.286000000000000,48,5031.458127450468965,1285750.702000507619232,0038.03,3240,31800,35520,4192.000000000000000,1640.000000000000000,1.290000000000000,3259.699999999999818,123,31800,3260,4192,1640,35520
8250038.04,2021S05078250038.04,0038.04,1.523800000000000,48,5223.515192996964288,1523526.699019057676196,0038.04,4570,32400,35600,6120.000000000000000,2239.000000000000000,1.520000000000000,4016.300000000000182,124,32400,4016,6120,2239,35600
8250076.01,2021S05078250076.01,0076.01,0.864,48,4638.152870962396264,863847.576026114518754,0076.01,2190,36000,41960,2787.000000000000000,1107.000000000000000,0.86,3225.699999999999818,230,36000,3226,2787,1107,41960
8250076.02,2021S05078250076.02,0076.02,1.107900000000000,48,5719.454393532399081,1107722.168829209171236,0076.02,2480,34000,38840,3227.000000000000000,1381.000000000000000,1.110000000000000,2912.699999999999818,231,34000,2913,3227,1381,38840
8250076.03,2021S05078250076.03,0076.03,1.656700000000000,48,6590.678698707066360,1656376.258418884128332,0076.03,3490,39600,51500,4333.000000000000000,1910.000000000000000,1.660000000000000,2615.400000000000091,232,39600,2615,4333,1910,51500
8250001.32,2021S05078250001.32,0001.32,1.795000000000000,48,7481.482349114610770,1929231.509102638112381,0001.32,4185,44000,54200,5582.000000000000000,1861.000000000000000,1.800000000000000,3109.699999999999818,21,44000,3110,5582,1861,54200
8250001.33,2021S05078250001.33,0001.33,1.004500000000000,48,4203.960754328678377,1004321.487277169246227,0001.33,2260,45600,63150,3043.000000000000000,885.000000000000000,1.000000000000000,3029.400000000000091,22,45600,3029,3043,885,63150
8250001.35,2021S05078250001.35,0001.35,17.497800000000002,48,19712.631758271912986,18191861.422574143856764,0001.35,3300,41600,46520,4584.000000000000000,1417.000000000000000,17.500000000000000,262.000000000000000,23,41600,262,4584,1417,46520
8250001.37,2021S05078250001.37,0001.37,0.7557,48,4271.592516034176697,755523.367000148864463,0001.37,3445,40000,44400,4666.000000000000000,1829.000000000000000,0.76,6174.399999999999636,24,40000,6174,4666,1829,44400
8250001.38,2021S05078250001.38,0001.38,1.265000000000000,48,5633.130877986005544,1264716.662732781609520,0001.38,4255,39200,43600,5637.000000000000000,1869.000000000000000,1.270000000000000,4456.100000000000364,25,39200,4456,5637,1869,43600
8250001.39,2021S05078250001.39,0001.39,4.949700000000000,48,11410.604290320539803,4986759.545111510902643,0001.39,5055,39200,44160,6910.000000000000000,2354.000000000000000,4.950000000000000,1396.000000000000000,26,39200,1396,6910,2354,44160
8250076.19,2021S05078250076.19,0076.19,1.587300000000000,48,6666.920521918223130,1587006.009669409366325,0076.19,2710,35200,45840,3314.000000000000000,1029.000000000000000,1.590000000000000,2087.800000000000182,240,35200,2088,3314,1029,45840
8250076.2,2021S05078250076.20,0076.20,1.820000000000000,48,6359.409056998385495,1819648.070241844048724,0076.20,2940,39200,45000,3702.000000000000000,1428.000000000000000,1.820000000000000,2034.099999999999909,241,39200,2034,3702,1428,45000
8250052.09,2021S05078250052.09,0052.09,1.412200000000000,48,5465.699796137264457,1411879.953120045131072,0052.09,4255,53200,63800,6045.000000000000000,2044.000000000000000,1.410000000000000,4280.600000000000364,200,53200,4281,6045,2044,63800
8250001.04,2021S05078250001.04,0001.04,2.530400000000000,48,9023.994963512912364,2543984.203760189004242,0001.04,4495,40400,47600,5549.000000000000000,2312.000000000000000,2.530000000000000,2192.900000000000091,4,40400,2193,5549,2312,47600
8250001.05,2021S05078250001.05,0001.05,1.151100000000000,48,4369.794645662089351,1150901.650336568010971,0001.05,2120,50800,68800,2854.000000000000000,1043.000000000000000,1.150000000000000,2479.400000000000091,5,50800,2479,2854,1043,68800
8250001.06,2021S05078250001.06,0001.06,3.386300000000000,48,8910.125273273421044,3389649.929486236535013,0001.06,2990,48400,60000,3652.000000000000000,1446.000000000000000,3.390000000000000,1078.500000000000000,6,48400,1078,3652,1446,60000
8250001.07,2021S05078250001.07,0001.07,2.927100000000000,48,7697.090707907177602,2964429.235607557464391,0001.07,4440,41200,47360,5895.000000000000000,2414.000000000000000,2.930000000000000,2013.900000000000091,7,41200,2014,5895,2414,47360
8250001.08,2021S05078250001.08,0001.08,3.628800000000000,48,10000.680185790783071,3629299.724158196710050,0001.08,3745,38800,47360,5134.000000000000000,2107.000000000000000,3.630000000000000,1414.799999999999955,8,38800,1415,5134,2107,47360
8250001.09,2021S05078250001.09,0001.09,3.475000000000000,48,9223.297221926493876,3535727.274025431368500,0001.09,4570,41200,51160,5895.000000000000000,2411.000000000000000,3.480000000000000,61696.400000000001455,9,41200,61696,5895,2411,51160
8250007.01,2021S05078250007.01,0007.01,1.957100000000000,48,5650.783582310891688,1956719.080185594502836,0007.01,4700,40400,46520,5706.000000000000000,2549.000000000000000,1.960000000000000,2915.500000000000000,73,40400,2916,5706,2549,46520
8250007.02,2021S05078250007.02,0007.02,2.041900000000000,48,6223.250029624759009,2073974.086373831378296,0007.02,4770,40800,46560,5943.000000000000000,2615.000000000000000,2.040000000000000,2910.500000000000000,74,40800,2910,5943,2615,46560
8250007.03,2021S05078250007.03,0007.03,4.991000000000000,48,13264.812943962055215,5293175.683302595280111,0007.03,4490,46000,58400,5623.000000000000000,2295.000000000000000,4.990000000000000,1126.599999999999909,75,46000,1127,5623,2295,58400
8250035.01,2021S05078250035.01,0035.01,2.772400000000000,48,6820.420499178349928,2783981.067980136722326,0035.01,5640,34400,38440,6896.000000000000000,3350.000000000000000,2.770000000000000,2487.400000000000091,117,34400,2487,6896,3350,38440
8250035.02,2021S05078250035.02,0035.02,0.8533,48,4108.292890934176285,878353.440596369211562,0035.02,1390,32800,38880,1680.000000000000000,869.000000000000000,0.85,1968.799999999999955,118,32800,1969,1680,869,38880
8250036.01,2021S05078250036.01,0036.01,0.9434,48,4537.556072395818774,943202.782871320261620,0036.01,2805,33600,36880,3544.000000000000000,1546.000000000000000,0.94,3756.599999999999909,119,33600,3757,3544,1546,36880
8250036.02,2021S05078250036.02,0036.02,0.9776,48,4005.149003202513541,977417.368111644289456,0036.02,2695,30000,32960,3364.000000000000000,1585.000000000000000,0.98,3441.099999999999909,120,30000,3441,3364,1585,32960
8250038.05,2021S05078250038.05,0038.05,1.198000000000000,48,4848.279891755405515,1197713.436281270580366,0038.05,3600,33200,36840,4729.000000000000000,1780.000000000000000,1.200000000000000,3947.400000000000091,125,33200,3947,4729,1780,36840
8250038.06,2021S05078250038.06,0038.06,2.182300000000000,48,6665.514028432628038,2205042.879342387896031,0038.06,4905,34400,37880,6561.000000000000000,2373.000000000000000,2.180000000000000,3006.500000000000000,126,34400,3006,6561,2373,37880
8250038.07,2021S05078250038.07,0038.07,1.388400000000000,48,5007.637106011040487,1388077.180880895582959,0038.07,3515,33200,37000,4560.000000000000000,1658.000000000000000,1.390000000000000,3284.400000000000091,127,33200,3284,4560,1658,37000
8250038.08,2021S05078250038.08,0038.08,1.361100000000000,48,4894.949169594183331,1360876.987486488185823,0038.08,3670,32400,35280,4740.000000000000000,1645.000000000000000,1.360000000000000,3482.500000000000000,128,32400,3482,4740,1645,35280
8250038.1,2021S05078250038.10,0038.10,1.484700000000000,48,6720.026255086526362,1484411.635636107763276,0038.10,4155,32000,36320,5362.000000000000000,1800.000000000000000,1.480000000000000,3611.500000000000000,129,32000,3612,5362,1800,36320
8250038.11,2021S05078250038.11,0038.11,1.131800000000000,48,4970.448579416818575,1131537.334387568989769,0038.11,3915,31800,35160,5187.000000000000000,1861.000000000000000,1.130000000000000,4583.000000000000000,130,31800,4583,5187,1861,35160
8250038.12,2021S05078250038.12,0038.12,1.347800000000000,48,5010.245847483379293,1347546.468787696445361,0038.12,3880,32800,38360,5058.000000000000000,2037.000000000000000,1.350000000000000,3752.800000000000182,131,32800,3753,5058,2037,38360
8250038.13,2021S05078250038.13,0038.13,1.340600000000000,48,5493.601927118864296,1340349.159188008867204,0038.13,3940,32400,35920,5252.000000000000000,1772.000000000000000,1.340000000000000,3917.599999999999909,132,32400,3918,5252,1772,35920
8250038.14,2021S05078250038.14,0038.14,1.320500000000000,48,4847.266683364501660,1320253.988560148514807,0038.14,4170,33600,36960,5635.000000000000000,2022.000000000000000,1.320000000000000,4267.300000000000182,133,33600,4267,5635,2022,36960
8250052.01,2021S05078250052.01,0052.01,2.121500000000000,48,6319.296988061850243,2121051.073938230983913,0052.01,3155,41600,49920,3867.000000000000000,1707.000000000000000,2.120000000000000,1822.799999999999955,194,41600,1823,3867,1707,49920
8250052.02,2021S05078250052.02,0052.02,1.637500000000000,48,6203.900285299640018,1637183.022992085432634,0052.02,2815,45600,56450,3542.000000000000000,1382.000000000000000,1.640000000000000,2163.099999999999909,195,45600,2163,3542,1382,56450
8250052.03,2021S05078250052.03,0052.03,3.427200000000000,48,8929.404594624191304,3458368.895023877732456,0052.03,2970,47600,85100,3626.000000000000000,1470.000000000000000,3.430000000000000,1058.000000000000000,196,47600,1058,3626,1470,85100
8250052.04,2021S05078250052.04,0052.04,1.957100000000000,48,7102.869895445543079,1956751.530743893701583,0052.04,3700,41600,59100,4613.000000000000000,2149.000000000000000,1.960000000000000,2357.099999999999909,197,41600,2357,4613,2149,59100
8250066.02,2021S05078250066.02,0066.02,2.172700000000000,48,6203.869775365226815,2172232.284249013289809,0066.02,4415,36400,50680,5422.000000000000000,2714.000000000000000,2.170000000000000,2495.500000000000000,217,36400,2496,5422,2714,50680
8250075.01,2021S05078250075.01,0075.01,1.028200000000000,48,4506.594671794953683,1028025.763862295309082,0075.01,2400,34000,41320,3015.000000000000000,1350.000000000000000,1.030000000000000,2932.300000000000182,228,34000,2932,3015,1350,41320
