site_name,Park_Type,Shape_Length,Shape_Area
OLD REFINERY PARK,DISTRICT PARK,2312.770641575376430,269237.199921653547790
FAST FOOD PARK,SUBNEIGHBOURHOOD PARK,327.985299645530461,4853.009688421328974
CONSTABLE SLOPE PARK,SUBNEIGHBOURHOOD PARK,667.254720166803509,17181.682613052937086
SIEN LOK PARK,REGIONAL PARK,497.324998624787440,9086.753499502876366
OUTWEST PARK,SUBNEIGHBOURHOOD PARK,212.815570714574420,1954.996566706989825
FLUOR DANIELS PARK; RENFREW EDUCATIONAL SERVICES; SUNDANCE CENTRE,SUBNEIGHBOURHOOD PARK,503.347408775446013,11063.366820302853739
POPPY PLAZA; LANDSCAPE OF MEMORY,REGIONAL PARK,2001.169479851948381,73464.116229509003460
JOHN HEXTALL PARK,SUBNEIGHBOURHOOD PARK,426.663830841718436,10745.735865033228038
GAZEBO PARK,SUBNEIGHBOURHOOD PARK,404.827355239721555,10344.122101489601846
KILLARNEY PARK; KILLARNEY/GLENGARRY PARK DEPOT,SUBNEIGHBOURHOOD PARK,495.703344881528778,15053.290321108872376
EVAMY RIDGE PARK; MONTESSORI SCHOOL; HOLY ANGELS SCHOOL,NEIGHBOURHOOD PARK,1101.006582398516684,36558.379818510489713
SOUTH GLENMORE PARK,REGIONAL PARK,11409.714675606783203,852299.538244601455517
TONY AND RUBY SCHMALTZ PARK,SUBNEIGHBOURHOOD PARK,298.686302277926870,5267.511263926837273
PRAIRIE WINDS PARK;  PRAIRIE WINDS DEPOT,REGIONAL PARK,1734.298640934661080,168868.546104346693028
PEACEKEPERS PARK,SUBNEIGHBOURHOOD PARK,371.246689624499652,8244.699524213285258
SANDY BEACH PARK,REGIONAL PARK,3180.373026114871209,155803.553706662147306
VICTORIA CROSS PARK,SUBNEIGHBOURHOOD PARK,328.398689735375342,7229.273144937123107
BALMORAL CIRCUS,SUBNEIGHBOURHOOD PARK,306.971802294837573,6123.899665849129633
KIWANIS PARK,SUBNEIGHBOURHOOD PARK,369.916337658885311,9065.321437256667195
HIDDEN SLOPES PARK,SUBNEIGHBOURHOOD PARK,255.188150774426674,3542.597747178968348
SINGH HARI PARK,SUBNEIGHBOURHOOD PARK,158.454015139598795,1458.259668632737203
CARBURN PARK; CARBURN PARK DEPOT,REGIONAL PARK,7301.673566997843409,486585.660922510141972
PRESTWICK COMMON,SUBNEIGHBOURHOOD PARK,504.916958384501982,14048.664341987352600
LINDSAY PARK; MNP COMMUNITY AND SPORT CENTRE,DISTRICT PARK,2317.829375450380212,122116.098499087034725
EARL GREY PARK; EARL GREY SCHOOL,COMMUNITY PARK,2300.133923098282594,79939.943156095512677
SCENIC ACRES RAVINE,NEIGHBOURHOOD PARK,1779.856434459928550,45012.176167770492611
GLENMORE DAM NATURAL AREA,DISTRICT PARK,2319.043884785867249,118489.376012820284814
SCENIC ACRES ESCARPMENT,DISTRICT PARK,5594.045905168819445,205942.344837073091185
CONFEDERATION PARK 3,COMMUNITY PARK,1451.584010340641498,60238.524343107994355
VALLEY RIDGE NATURAL AREA,DISTRICT PARK,6816.908320527098113,387740.290243228955660
CLEARWATER PARK,DISTRICT PARK,2981.672178370848087,576967.242187255062163
CALGARY CANADIAN IRISH ATHLETIC CLUB,DISTRICT PARK,932.917419861350140,48520.597892434474488
COWBOYS PARK; FORMERLY MILLENNIUM PARK,REGIONAL PARK,1306.271323579684804,35861.549579441656533
MCKENZIE NATURAL AREA,DISTRICT PARK,4756.025857134091893,205906.694918897759635
PATTERSON HOMESTEAD MEMORIAL PARK,SUBNEIGHBOURHOOD PARK,259.727776897498302,3971.601090665986248
OLIVER QUARRY PARK,NEIGHBOURHOOD PARK,1439.118070281055680,36070.695338486315450
