asset_clas,location_d,asset_cd,maintained,steward,maint_info,life_cycle,mgmt_num,asset_type,material,priority,who_remove,seg_label,comments,trans_cana,greenway,operationa,Shape_Length
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,3.510839907048570
,,SAD034,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,29.694417670827072
,,HSD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,34.924999999813735
,,HSD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,16.351245324810058
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,2.885856588225919
,,SAD336,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,176.005135698275836
,,SAD336,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,7.722205565441699
SEE EMAIL MARCH 2011,,FAL106,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,64.654922361287618
SEE EMAIL MARCH 2011,,FAL093,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,106.860455887174268
SEE EMAIL MARCH 2011,,FAL092,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,113.682244232611808
SEE EMAIL MARCH 2011,,FAL092,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,113.228549733974248
SEE EMAIL MARCH 2011,,FAL678,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,77.419500394840966
PARKS FOUNDATION SE CALGARY PH2A GREENWAY,,12A895,CALGARY PARKS,CALGARY PARKS,2015/05/17: THIS ASSET WAS NOT REPLACED AS PART OF THE GREENWAY PH2A PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,89.034109700284262
,,RYV126,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,136.277798789502214
,,RYV126,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,135.733832911033687
,,RYV126,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,135.733821753748515
,,RYV126,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,135.191918869057702
SEE EMAIL MARCH 2011,,FAL678,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,77.110463892938981
SEE EMAIL MARCH 2011,,FAL678,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,77.110454087126030
SEE EMAIL MARCH 2011,,FAL678,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,CONCRETE,,,,,NO,NO,OPEN,76.802698491980877
,,SCE415,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,YES,YES,OPEN,51.491306993441086
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,3.888257123975711
,,HSD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,32.464788383664789
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,7.687311869556705
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,3.884529410313440
,,SAD034,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,28.187132309729829
,,SAD034,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,56.883938644555748
"10/28/2021: PATHWAY CONSTRUCTED BY TRANSPORTATION PLANNING, PM: ADRIAN TANASE, SEE: R:\Subdivision_Development\TI PROJECTS\John_Laurie_Pathway_Construction_Plans.pdf",,COL426,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,7.760935835357756
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,31.726978618915897
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,5.724429916277602
,,HSD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,145.733304115532349
,,SAD034,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,7.614502429610126
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,34.424275867171119
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,8.063008633990366
,,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,32.080475957433244
,,HSD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,73.548502718861755
,,SAD034,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,8.430633193295996
,,SAD678,NOT MAINTAINED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,10.423250061700474
,,SAD678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,2.933473258843859
,,SAD678,NOT MAINTAINED,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,4.169287281794966
,,MCK639,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,15.428401203074600
,,RIC700,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,8.383527682437695
IGNORE WAM_PARENT_ID ERROR. SEGEMENT IS OUTSIDE CITY LIMITS,,,OUTSIDE AGENCY,PROVINCE OF ALBERTA,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,495.080114251274551
IGNORE WAM_PARENT_ID ERROR. SEGEMENT IS OUTSIDE CITY LIMITS,,,OUTSIDE AGENCY,PROVINCE OF ALBERTA,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,326.149244850957700
IGNORE WAM_PARENT_ID ERROR. SEGEMENT IS OUTSIDE CITY LIMITS,,,OUTSIDE AGENCY,PROVINCE OF ALBERTA,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,280.730933155173034
