asset_type,type_descr,dedication,orientatio,plaque,manufactur,plaque_spo,finish_typ,asset_clas,asset_cd,location_d,steward,maintained,maint_info,life_cycle
5.000000000000000,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,LACQUERED WOOD,ACR 3,DIS100,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,,,NOT APPLICABLE,,,,COULDN'T VERIFY-IN A FENCED IN AREA,ALT703,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,S,NOT APPLICABLE,,,PAINTED,,BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,,GAW632,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,,E,,,,PAINTED,,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,,N,NOT APPLICABLE,,,PAINTED,,ALB628,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
6.000000000000000,PICNIC TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,POWDER COATED,ACR 2,EAU120,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
6.000000000000000,PICNIC TABLE,NOT APPLICABLE,N,NOT APPLICABLE,,,POWDER COATED,ACR 2,EAU120,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
6.000000000000000,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,PAINTED,,RIC700,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
6.000000000000000,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,PAINTED,,WOO352,,CALGARY PARKS,CALGARY PARKS,2018/01/03: LMA EXPIRED 2017/12/31,ACTIVE
6.000000000000000,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,PAINTED,,LKV525,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,SW,NOT APPLICABLE,,,PAINTED,,WBN130,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
6.000000000000000,PICNIC TABLE,NOT APPLICABLE,,NOT APPLICABLE,,,PAINTED,,GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,,N,,,,LACQUERED WOOD,,MNI415,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,W,NOT APPLICABLE,,,NATURAL WOOD,,SAD341,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,SW,NOT APPLICABLE,,,PAINTED,,EVN260,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,SE,NOT APPLICABLE,,,PLASTICIZED,,CPF852,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,,S,,,,PLASTICIZED,,HAM461,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE
5.000000000000000,PARKS BENCH,,S,,,,NATURAL WOOD,,CLI278,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,SE,NOT APPLICABLE,,,NATURAL WOOD,,SPH902,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,NW,NOT APPLICABLE,,,NATURAL WOOD,,EVE802,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,N,NOT APPLICABLE,,,COMPOSITE WITHOUT FINISH,,KIL874,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,SE,NOT APPLICABLE,,,PAINTED,,BDO454,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
5.000000000000000,PARKS BENCH,NOT APPLICABLE,NW,NOT APPLICABLE,,,PAINTED,,SOW219,,CALGARY PARKS,CALGARY PARKS,,ACTIVE
