asset_type,material,number_cou,Shape_Length,Shape_Area
SOCCER,MOWED TURF,,333.281581750429382,6641.493152945069596
TENNIS,ASPHALT,1,104.798871409327688,584.653576245309750
SOCCER,MOWED TURF,,316.364002138325304,5950.068826246800199
SOCCER,MOWED TURF,,310.616250533506786,5762.305220459785232
SOCCER,MOWED TURF,,330.315218546124868,6504.117653773029815
SOCCER,MOWED TURF,,345.351973882159939,7229.961258910803735
TENNIS,ASPHALT,1,102.893336925963084,569.207066802719396
SOCCER,MOWED TURF,,328.391706526942073,6655.579500578531224
TENNIS,ASPHALT,1,107.210126930998570,621.267742572416751
BALL DIAMOND INFIELD,RED SHALE,,151.306488261955508,1725.186626690303228
SOCCER,MOWED TURF,,302.123795519966961,5447.693233351955314
BALL DIAMOND DUGOUT,RED SHALE,,15.117334325259741,9.858926501173960
BALL DIAMOND DUGOUT,RED SHALE,,14.910301204760442,9.606360498654141
PICKLEBALL,ASPHALT,2,98.736298480148562,465.776419814524274
TENNIS,ASPHALT,1,105.328724071199048,581.743731147636936
TENNIS,ASPHALT,1,110.398674572261257,662.904597252266854
TENNIS,ASPHALT,1,103.660793954285523,541.019149266668705
TENNIS,ASPHALT,1,104.176814600977238,550.905068428716390
SOCCER,MOWED TURF,,338.993189474955784,6958.979050460808139
SOCCER,MOWED TURF,,239.525313867037539,3189.588644179831135
SOCCER,MOWED TURF,,241.114149781970042,3224.916423430579925
BALL DIAMOND DUGOUT,RED SHALE,,24.700034611607322,25.827714749867649
TENNIS,ASPHALT,1,107.601752106483573,616.867895410528718
TENNIS,ASPHALT,1,112.460585102156173,663.732555435829454
TENNIS,ASPHALT,1,104.379088344102797,577.558857185899001
SOCCER,MOWED TURF,,213.844736661871821,2680.942599083385630
TENNIS,ASPHALT,1,105.115508487404824,579.819537388683216
BALL DIAMOND WARNING TRACK,RED SHALE,,503.874101794064359,690.946128320414914
BALL DIAMOND DUGOUT,RED SHALE,,15.780735511110414,9.808561921074295
TENNIS,ASPHALT,1,104.026625618015800,574.852161094703092
BASKETBALL,ASPHALT,1,122.784175735694959,936.790814107573283
SOCCER,MOWED TURF,,239.727930512202875,3192.194989694879041
SOCCER,MOWED TURF,,239.910632285393632,3197.666272178190411
TENNIS,ASPHALT,1,103.422882146560383,565.252860400143049
BALL DIAMOND DUGOUT,RED SHALE,,16.774783385779791,14.714360125287746
BALL DIAMOND DUGOUT,RED SHALE,,15.340129828472723,12.367930799615495
BALL DIAMOND DUGOUT,RED SHALE,,14.289459358936785,9.556720474016483
TENNIS,ASPHALT,1,100.602403912672486,523.739817539184060
TENNIS,CLAY,1,97.278684113882406,469.021513526228887
TENNIS,CLAY,1,97.538649073084002,474.131261349308716
BASKETBALL,ASPHALT,1,79.531363353757953,336.264733919624803
TENNIS,CLAY,1,102.361578369372182,558.321659885660779
TENNIS,ASPHALT,1,103.189527538734993,538.022643726302022
VOLLEYBALL,SAND,3,119.708970168406239,850.752181466930892
BALL DIAMOND WARNING TRACK,RED SHALE,,358.640221416655493,501.892726453048908
SOCCER,MOWED TURF,,339.687788499022133,7024.608121259157087
BALL DIAMOND OUTFIELD,MOWED TURF,,272.453981739484107,3617.071859277312797
BASKETBALL,,1,49.687433928227129,153.598121752777786
BALL DIAMOND OUTFIELD,MOWED TURF,,294.238318662400218,4133.268327873701310
TENNIS,ASPHALT,1,99.663465747874540,496.986727281220283
TENNIS,ASPHALT,2,103.197218506136863,559.652566806083655
CRICKET PITCH,ARTIFICIAL TURF,,77.722105565870081,137.647145897819087
BALL DIAMOND OUTFIELD,MOWED TURF,,237.378729969877639,2958.681892721086570
SOCCER,MOWED TURF,,163.643428697898486,1529.719649328801097
BALL DIAMOND INFIELD,RED SHALE,,116.188093241338436,904.892131188029111
BASKETBALL,CONCRETE,1,59.350339926484118,191.490956445885416
CRICKET PITCH,ARTIFICIAL TURF,,63.074734061780774,107.244941351564123
SOCCER,MOWED TURF,,253.565893733757122,3674.071129381434275
DISC GOLF TEE,CONCRETE,,9.286172177492741,4.070769940973939
SOCCER,MOWED TURF,,335.771145367544364,6832.307390755699998
CRICKET PITCH,RUBBER,,149.152956992595449,190.588697050267115
DISC GOLF TEE,CONCRETE,,10.514840435476074,5.673891101828566
DISC GOLF TEE,CONCRETE,,9.770606678382007,4.906363769470838
SOCCER,MOWED TURF,,238.987796488642743,3161.541702508248363
SOCCER,MOWED TURF,,239.387498782204602,3172.651333349792822
DISC GOLF TEE,CONCRETE,,7.633997528855589,3.531690936742569
TENNIS,ASPHALT,1,113.515620067537583,697.972805112412175
ICE AREA,MOWED TURF,,155.767390609691404,1414.916703718356985
BALL DIAMOND OUTFIELD,MOWED TURF,,254.323440930195375,2243.703264333065363
DISC GOLF TEE,CONCRETE,,8.899617692818943,4.312865458734754
DISC GOLF TEE,CONCRETE,,9.342398005594458,4.021386359594650
DISC GOLF TEE,CONCRETE,,11.587417084118748,10.645564919541997
SOCCER,MOWED TURF,,247.547254586312533,3461.576702091082097
DISC GOLF TEE,CONCRETE,,11.875514169033917,11.180941581263774
SOCCER,MOWED TURF,,243.987735396526091,3356.220119431436615
SOCCER,MOWED TURF,,244.746281240836339,3341.229153142375253
SOCCER,MOWED TURF,,241.543724286478891,3247.702609177659724
BALL DIAMOND OUTFIELD,MOWED TURF,,196.558684843960549,1776.741768127212254
SOCCER,MOWED TURF,,341.482532294071234,7073.045379963729829
DISC GOLF TEE,CONCRETE,,10.570527260301072,5.832184616929668
SOCCER,MOWED TURF,,228.297404537265265,2971.913036784958877
SOCCER,MOWED TURF,,251.532665623250864,3632.943584975523208
BALL DIAMOND OUTFIELD,MOWED TURF,,315.711934467236176,5433.386426465636760
BALL DIAMOND OUTFIELD,MOWED TURF,,257.100973327624104,3018.677728355904947
BALL DIAMOND INFIELD,RED SHALE,,114.051342892646517,700.852831562347660
BALL DIAMOND DUGOUT,RED SHALE,,18.257744384791685,11.927156891597324
BALL DIAMOND DUGOUT,RED SHALE,,18.243805568087609,11.149332812829179
BASKETBALL,ASPHALT,1,86.539322298668438,440.886310495580290
SOCCER,MOWED TURF,,240.931626620879513,3201.342709567526526
SOCCER,MOWED TURF,,342.046221902220282,7074.473950446103117
CRICKET PITCH,ARTIFICIAL TURF,,54.291218432972371,67.172368086461532
SOCCER,MOWED TURF,,310.511648783747660,5692.890063839333379
SOCCER,MOWED TURF,,335.068121122546700,6737.018340781151892
BALL DIAMOND INFIELD,RED SHALE,,143.440022823119364,1532.085753505940829
TENNIS,ASPHALT,1,103.117428861905950,566.130872257264855
TENNIS,ASPHALT,1,104.471511967816724,587.391014607787611
BATTING CAGE,ARTIFICIAL TURF,,94.573594237892081,399.102666208495066
TENNIS,CLAY,1,109.604000000283122,636.072141760351315
BALL DIAMOND INFIELD,RED SHALE,,137.667571067597407,1430.298012802440780
BALL DIAMOND INFIELD,RED SHALE,,149.692313221900321,1699.361813109004288
TENNIS,ASPHALT,1,99.038312535045307,482.168052171674447
BALL DIAMOND INFIELD,RED SHALE,,133.695386625313716,1327.998575766943759
TENNIS,ASPHALT,2,99.633203130308004,494.059751345330255
TENNIS,ASPHALT,1,103.507992459299061,561.836043306460624
SOCCER,MOWED TURF,,239.698700971149151,3213.645869077961379
TENNIS,ASPHALT,2,99.598650762824448,486.668973957222704
TENNIS,ASPHALT,2,104.448787386445815,578.682204703164530
TENNIS,ASPHALT,1,103.590917575777610,568.529083269585044
TENNIS,ASPHALT,1,99.215365593948405,486.197818620378143
TENNIS,ASPHALT,2,104.040701919106226,571.682778225098673
TENNIS,ASPHALT,1,96.690856338277271,468.351185918752549
BALL DIAMOND DUGOUT,RED SHALE,,37.929109673144097,38.795352099472730
TENNIS,ASPHALT,2,98.144729799387022,493.687097065488956
BALL DIAMOND DUGOUT,RED SHALE,,17.515253874447616,15.146553450535432
TENNIS,ASPHALT,1,99.501156918814004,487.105213145656649
TENNIS,ASPHALT,1,104.357750952032063,575.772730605839456
TENNIS,ASPHALT,1,104.343460960881274,573.601385015097776
TENNIS,ASPHALT,1,97.349969352406262,466.225844546534745
TENNIS,ASPHALT,1,98.249643737698108,476.465298420856982
BALL DIAMOND DUGOUT,RED SHALE,,15.176555522569572,12.733394034008011
BALL DIAMOND DUGOUT,RED SHALE,,19.418548829977013,17.480381225905006
TENNIS,ASPHALT,2,99.872452422793998,498.555604452760804
TENNIS,ASPHALT,1,103.223912423206656,571.093228237710946
TENNIS,ASPHALT,1,98.662949473814237,483.352106882192516
TENNIS,ASPHALT,2,103.220743889601891,563.163036740241523
SOCCER,MOWED TURF,,240.463464103224936,3216.874758610103072
SOCCER,MOWED TURF,,240.631738755352671,3214.895957570715836
TENNIS,ASPHALT,1,102.468792419855276,557.746382473212634
SOCCER,MOWED TURF,,239.881517631911436,3196.422880393608921
SOCCER,MOWED TURF,,239.748600000515580,3193.770877566673789
TENNIS,ASPHALT,2,98.514278549896062,478.060513168502268
TENNIS,ASPHALT,1,103.611203412083526,569.174636766927506
BALL DIAMOND DUGOUT,RED SHALE,,19.658950669781994,17.878726161530832
TENNIS,ASPHALT,1,98.775333296626854,484.140143094084749
SOCCER,MOWED TURF,,240.704335024078830,3234.181482582602257
TENNIS,ASPHALT,2,102.982265081954324,560.836467065603301
SOCCER,MOWED TURF,,217.694368331943252,2751.073164960122085
SOCCER,MOWED TURF,,339.069041406037570,6949.582006157671458
SOCCER,MOWED TURF,,240.924374234277849,3231.255449182336633
TENNIS,ASPHALT,1,103.632229451859047,570.907800402865405
TENNIS,ASPHALT,1,98.650210837362408,479.249368569749834
SOCCER,MOWED TURF,,240.539040769380847,3229.970943390100729
SOCCER,MOWED TURF,,239.755399998277426,3188.130958975988051
TENNIS,ASPHALT,2,99.635720153497360,496.562850311355419
TENNIS,ASPHALT,2,102.945780381811048,558.537708988221539
SOCCER,MOWED TURF,,339.420199999585748,6975.086915430364570
SOCCER,MOWED TURF,,240.155950015235845,3204.153355974834540
SOCCER,MOWED TURF,,239.755399998277426,3188.130958975988051
TENNIS,ASPHALT,1,98.679396213177881,481.980861852129692
SOCCER,MOWED TURF,,339.420199999585748,6975.086915430364570
TENNIS,ASPHALT,2,103.607340150242280,568.683668379532378
TENNIS,ASPHALT,2,98.979679037798448,483.970824795213503
TENNIS,ASPHALT,1,103.694593278221902,570.859361087322668
TENNIS,ASPHALT,1,102.901385609705784,561.263323394564395
SOCCER,MOWED TURF,,240.155950013368539,3204.153355972492591
SOCCER,MOWED TURF,,339.838550563280933,6991.467124173988850
SOCCER,MOWED TURF,,318.902220346170111,5944.036570568327079
SOCCER,MOWED TURF,,336.504018579229410,6816.401875330586336
SOCCER,MOWED TURF,,237.968197911520008,3142.316077491697797
SOCCER,MOWED TURF,,340.160400883926798,7010.849112397988392
SOCCER,MOWED TURF,,336.448407656613654,6811.920957899747009
SOCCER,MOWED TURF,,270.270253401403352,3965.054753761942266
SOCCER,MOWED TURF,,240.282774826548234,3209.798078691719184
SOCCER,MOWED TURF,,339.578327007653058,6982.711140323495783
SOCCER,MOWED TURF,,239.986056525090419,3200.239526059891887
SOCCER,MOWED TURF,,239.986056529037057,3200.239528546286692
SOCCER,MOWED TURF,,339.578259341679654,6982.708284928305147
SOCCER,MOWED TURF,,239.986198742995782,3200.245699647952733
SOCCER,MOWED TURF,,239.986108209504465,3200.238794829743711
SOCCER,MOWED TURF,,240.497535025255445,3209.911939545996120
BALL DIAMOND INFIELD,RED SHALE,,106.524930232681299,857.612826749688452
TENNIS,ASPHALT,1,99.165948868060298,512.734263795871243
BALL DIAMOND INFIELD,RED SHALE,,105.225849335784972,714.875118812193591
SOCCER,MOWED TURF,,322.234294850097740,6380.085347409346468
BALL DIAMOND INFIELD,RED SHALE,,112.068115277338109,709.772833199640672
SOCCER,MOWED TURF,,248.733241164821010,3485.415716834195337
SOCCER,MOWED TURF,,251.258027350239985,3468.160467312326091
SOCCER,MOWED TURF,,238.517963201833226,3123.220212322484258
BALL DIAMOND BASELINE,RED SHALE,,135.652655077994467,97.738832400888953
BALL DIAMOND INFIELD,RED SHALE,,122.401240422772901,983.864231817085965
PRACTICE AREA - WARM UP AREA,ASPHALT,,58.297423315397793,206.597472498818917
ICE AREA,MOWED TURF,,218.886731556888094,2794.446158345534968
ICE AREA,MOWED TURF,,167.310090292381091,1842.220643178987757
SOCCER,MOWED TURF,,375.728459672424890,8235.915850892923117
