asset_cd,asset_type,created_dt,life_cycle,location_d,maintained,modified_d,name,steward,wam_id,Shape_Length,Shape_Area
MCI091,NATURAL POND,2009-09-09,ACTIVE,MCCALL LAKE GOLF COURSE,CALGARY PARKS,,,CALGARY RECREATION,N-30000058,465.223031381824228,6238.575399831318464
EDG055,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,,18WLA - EDGEMONT,CALGARY PARKS,N-30000104,63.890437099535987,116.711445803474959
VAR125,NATURAL POND,2009-09-09,ACTIVE,40 AV AND 37 ST NW,CALGARY PARKS,,,CALGARY PARKS,N-30000020,316.793062000379166,3311.997402557812620
SKW799,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN RR TRACKS AND 64 AV NE,CALGARY PARKS,,NOSE CREEK,CALGARY PARKS,N-30000050,635.968622697902561,2781.675173450545117
GPK120,OXBOW,2009-09-09,ACTIVE,WEASELHEAD,CALGARY PARKS,2011-04-05,,CALGARY PARKS,N-30000026,1036.213152248237293,11278.526819224496649
NEB844,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2011-09-28,56WPA - NEW BRIGHTON,CALGARY PARKS,N-30000109,446.201210363298912,13804.802500493988191
CPF011,NATURAL POND,2011-06-21,ACTIVE,,CALGARY PARKS,2018-03-14,,CALGARY PARKS,N-50883260,434.411265638948521,7220.096571323285389
DIS112,NATURAL POND,2009-09-09,ACTIVE,325 DISCOVERY RIDGE BV SW,CALGARY PARKS,2019-01-17,,CALGARY PARKS,N-30000022,537.866173213747857,8298.522792410307375
SET006,WETLAND,2017-01-18,ACTIVE,,CALGARY PARKS SHARED,2017-01-18,145WPA,CALGARY WATER,N-51194346,431.155547136862083,12326.315901158346605
ABP799,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN NOSE CREEK AND CENTRE ST,CALGARY PARKS,2016-05-30,WEST NOSE CREEK,CALGARY PARKS,N-30000066,169.128915537095565,129.465433882209453
PAT924,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,PATTERSON BV AND PATTERSON CL SW,CALGARY PARKS,2018-07-18,,CALGARY PARKS,N-30000019,184.307043957083209,45.893377342655263
ROY382,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,2011-07-27,48WPA - ROYAL OAK,CALGARY PARKS,N-30000113,276.336782939288526,2889.391320681656907
PAN043,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,,BEDDINGTON CREEK,CALGARY PARKS,N-30000119,374.212978437057529,2665.305138294352673
SKW764,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN MCKNIGHT BV AND GODDARD AV NE,CALGARY PARKS SHARED,2016-11-29,NOSE CREEK,PROVINCE OF ALBERTA,N-30000064,361.112470586693746,839.616632610843567
PAN060,WETLAND,2009-09-09,ACTIVE,1999 PANATELLA BV NW,CALGARY PARKS SHARED,2011-08-22,103WPA PANORAMA HILLS LOWER POND,CALGARY PARKS,N-30000078,636.719549780001671,9577.017819900533141
HID241,NATURAL POND,2009-09-09,ACTIVE,HIDDEN CREEK GR NW,CALGARY PARKS,2018-05-24,,CALGARY PARKS,N-30000075,141.676731228112146,1010.585994828431808
COL350,NATURAL POND,2009-09-09,ACTIVE,CONFEDERATION PARK GOLF COURSE,CALGARY PARKS AND OTHER BU,,,CALGARY RECREATION,N-30000037,1062.929288878717898,11198.892923717517988
TAR124,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2011-11-08,47WPA - TARADALE,CALGARY PARKS,N-30000116,1022.382911736227584,39992.736271946676425
TUS601,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2010-07-22,34WLA - TUSCANY,CALGARY PARKS,N-30000117,1274.897865075564823,37025.689954326262523
MCI091,NATURAL LAKE,2009-09-09,ACTIVE,MCCALL LAKE GOLF COURSE,CALGARY PARKS,,5WP MCCALL LAKE,CALGARY RECREATION,N-30000008,1787.116704628146181,81631.293417950582807
TAR137,WETLAND,2009-09-09,INSTALLED,,DEVELOPER CONSTRUCTION,2012-01-06,105WPA TARAVISTA,CALGARY PARKS,N-30000053,1039.412515233301519,24365.743980427039787
CNS005,WETLAND,2019-11-29,INSTALLED,,DEVELOPER CONSTRUCTION,2020-01-09,,CALGARY PARKS,N-51327779,606.141191410173406,22774.324203931999364
